"filename", "language", "Markdown", "Shell Script", "Makefile", "JavaScript", "comment", "blank", "total"
"/Users/shgopher/Desktop/family/GOFamily/工程/go面试题/中高级go面试题一.md", "Markdown", 28, 0, 0, 0, 10, 1, 39
"/Users/shgopher/Desktop/family/GOFamily/工程/wasm/README.md", "Markdown", 4, 0, 0, 0, 0, -1, 3
"/Users/shgopher/Desktop/family/GOFamily/工程/包及其构建工具/README.md", "Markdown", 20, 0, 0, 0, 0, 14, 34
"/Users/shgopher/Desktop/family/GOFamily/工程/错误处理/README.md", "Markdown", -66, 0, 0, 0, -10, -12, -88
"/Users/shgopher/Desktop/family/GOFamily/并发/README.md", "Markdown", -1, 0, 0, 0, 10, 0, 9
"/Users/shgopher/Desktop/family/GOFamily/并发/atomic/README.md", "Markdown", 50, 0, 0, 0, 10, 22, 82
"/Users/shgopher/Desktop/family/GOFamily/并发/channel/README.md", "Markdown", 1097, 0, 0, 0, 0, 206, 1303
"/Users/shgopher/Desktop/family/GOFamily/并发/context/README.md", "Markdown", 208, 0, 0, 0, 0, 46, 254
"/Users/shgopher/Desktop/family/GOFamily/并发/内存模型/README.md", "Markdown", 2, 0, 0, 0, 0, -2, 0
"/Users/shgopher/Desktop/family/GOFamily/并发/同步原语/README.md", "Markdown", 1025, 0, 0, 0, 10, 253, 1288
"/Users/shgopher/Desktop/family/GOFamily/并发/定时器/README.md", "Markdown", -1, 0, 0, 0, 0, 0, -1
"/Users/shgopher/Desktop/family/GOFamily/并发/并发原语/README.md", "Markdown", -3, 0, 0, 0, -10, -2, -15
"/Users/shgopher/Desktop/family/GOFamily/并发/并发模型/README.md", "Markdown", 93, 0, 0, 0, 0, 20, 113
"/Users/shgopher/Desktop/family/GOFamily/编译器/README.md", "Markdown", 26, 0, 0, 0, 10, 0, 36
"/Users/shgopher/Desktop/family/GOFamily/编译器/gc/README.md", "Markdown", 20, 0, 0, 0, 10, 5, 35
"/Users/shgopher/Desktop/family/GOFamily/编译器/gccgo/README.md", "Markdown", 10, 0, 0, 0, 0, 5, 15
"/Users/shgopher/Desktop/family/GOFamily/编译器/llvm/README.md", "Markdown", 37, 0, 0, 0, 10, 14, 61
"Total", "-", 4681, 19, 2, -23, 148, 930, 5757
